date,prediction
2004-02-08,3000.00010752147
2004-02-09,3002.000117302607
2004-02-10,3004.0001272416084
2004-02-11,3006.0001372305223
2004-02-12,3008.0001471712512
2004-02-13,3010.0001570125232
2004-02-14,3012.00016645461
2004-02-15,3014.0001772723544
2004-02-16,3016.0001859002905
2004-02-17,3018.000193874495
2004-02-18,3020.0002010970834
2004-02-19,3022.0002074965364
2004-02-20,3024.000213064408
2004-02-21,3026.0002175578597
2004-02-22,3028.000222832298
2004-02-23,3030.0002253905295
2004-02-24,3032.0002268713
2004-02-25,3034.0002272804186
2004-02-26,3036.000226656498
2004-02-27,3038.0002251054057
2004-02-28,3040.0002224988757
2004-02-29,3042.0002208153737
2004-03-01,3044.000216652263
2004-03-02,3046.0002117604236
2004-03-03,3048.0002062417725
2004-03-04,3050.0002002206593
2004-03-05,3052.0001938766463
2004-03-06,3054.0001871402487
2004-03-07,3056.0001820434004
2004-03-08,3058.0001751963646
2004-03-09,3060.000168370441
2004-03-10,3062.0001616641557
2004-03-11,3064.0001551827177
2004-03-12,3066.000149071718
2004-03-13,3068.000143212575
2004-03-14,3070.0001395852196
2004-03-15,3072.0001347122447
2004-03-16,3074.0001302920946
2004-03-17,3076.0001263360705
2004-03-18,3078.000122857786
2004-03-19,3080.000119909377
2004-03-20,3082.000117277935
2004-03-21,3084.0001168612903
2004-03-22,3086.000115079935
2004-03-23,3088.000113560756
2004-03-24,3090.0001122446033
2004-03-25,3092.0001110850258
2004-03-26,3094.000110085958
2004-03-27,3096.000108997735
2004-03-28,3098.0001097043123
2004-03-29,3100.0001086009916
2004-03-30,3102.000107326604
2004-03-31,3104.0001058393273
2004-04-01,3106.000104122385
2004-04-02,3108.000102220817
2004-04-03,3110.000099934779
2004-04-04,3112.000099215954
2004-04-05,3114.000096509055
2004-04-06,3116.0000935305998
2004-04-07,3118.000090311412
2004-04-08,3120.00008690799
2004-04-09,3122.0000834374146
2004-04-10,3124.000079767322
2004-04-11,3126.000077921268
2004-04-12,3128.0000743841115
2004-04-13,3130.000070927848
2004-04-14,3132.000067621599
2004-04-15,3134.0000645497516
2004-04-16,3136.000061846397
2004-04-17,3138.0000593835734
2004-04-18,3140.0000591874045
2004-04-19,3142.000057709283
2004-04-20,3144.0000567007964
2004-04-21,3146.000056193234
2004-04-22,3148.0000562245264
2004-04-23,3150.000056875134
2004-04-24,3152.000057956379
2004-04-25,3154.000061438953
2004-04-26,3156.0000636913314
2004-04-27,3158.0000664049194
2004-04-28,3160.0000695439626
2004-04-29,3162.0000730818483
2004-04-30,3164.0000770387214
2004-05-01,3166.0000811698487
2004-05-02,3168.0000874061743
2004-05-03,3170.0000920593134
2004-05-04,3172.0000967960436
2004-05-05,3174.000101557486
2004-05-06,3176.000106303451
2004-05-07,3178.00011105029
2004-05-08,3180.000115557721
2004-05-09,3182.000121779741
2004-05-10,3184.0001260345425
2004-05-11,3186.0001300266754
2004-05-12,3188.0001337339236
2004-05-13,3190.0001371582125
2004-05-14,3192.0001403623864
2004-05-15,3194.0001431543333
2004-05-16,3196.0001475473496
2004-05-17,3198.0001498942565
2004-05-18,3200.0001519567927
2004-05-19,3202.0001537599637
2004-05-20,3204.000155349572
2004-05-21,3206.0001568281837
2004-05-22,3208.0001580370786
2004-05-23,3210.0001610267645
2004-05-24,3212.0001621562005
2004-05-25,3214.0001632104513
2004-05-26,3216.0001642236725
2004-05-27,3218.0001652444794
2004-05-28,3220.000166372392
2004-05-29,3222.000167438865
2004-05-30,3224.0001704892024
2004-05-31,3226.000171848035
2004-06-01,3228.0001732863084
2004-06-02,3230.000174813826
2004-06-03,3232.000176453238
2004-06-04,3234.000178277554
2004-06-05,3236.00018009068
2004-06-06,3238.0001839209394
2004-06-07,3240.000186052855
2004-06-08,3242.0001882432953
2004-06-09,3244.000190483252
2004-06-10,3246.000192779949
2004-06-11,3248.000195194795
2004-06-12,3250.000197522672
2004-06-13,3252.0002017962356
2004-06-14,3254.0002042831024
2004-06-15,3256.000206750229
2004-06-16,3258.0002091940223
2004-06-17,3260.000211629663
2004-06-18,3262.0002141286986
2004-06-19,3264.0002164963244
2004-06-20,3266.0002207858593
2004-06-21,3268.0002232608163
2004-06-22,3270.000225707183
2004-06-23,3272.000228131619
2004-06-24,3274.0002305579824
2004-06-25,3276.00023306461
2004-06-26,3278.0002354598805
2004-06-27,3280.000239807198
2004-06-28,3282.00024235247
2004-06-29,3284.000244884865
2004-06-30,3286.000247403786
2004-07-01,3288.0002499232987
2004-07-02,3290.00025250989
2004-07-03,3292.0002549570254
2004-07-04,3294.0002593214103
2004-07-05,3296.000261816529
2004-07-06,3298.000264222503
2004-07-07,3300.000266522345
2004-07-08,3302.000268714715
2004-07-09,3304.000270852406
2004-07-10,3306.0002727160927
2004-07-11,3308.0002763618395
2004-07-12,3310.0002779806114
2004-07-13,3312.0002793569547
2004-07-14,3314.0002804741775
2004-07-15,3316.000281334917
2004-07-16,3318.0002819998094
2004-07-17,3320.000282259721
2004-07-18,3322.00028419385
2004-07-19,3324.000283994427
2004-07-20,3326.000283473508
2004-07-21,3328.0002826363357
2004-07-22,3330.0002815090597
2004-07-23,3332.000280176952
2004-07-24,3334.000278454633
2004-07-25,3336.000278454296
2004-07-26,3338.0002763753355
2004-07-27,3340.0002740590357
2004-07-28,3342.000271530086
2004-07-29,3344.000268831525
2004-07-30,3346.000266062733
2004-07-31,3348.0002630479676
2004-08-01,3350.0002619151833
2004-08-02,3352.000258851111
2004-08-03,3354.00025570449
